"DepartamentoCodigo","Departamento","MunicipioCodigo","Municipio","Año","IRCA","Nivel de riesgo","IRCAurbano","Nivel de riesgo urbano","IRCArural","Nivel de riesgo rural"
"11","Bogotá, D.C.","#TODOS","#TODOS","2,024","3.6","Sin riesgo","1.1","Sin riesgo","14.8","Riesgo medio"
"13","Bolívar","#TODOS","#TODOS","2,024","11.3","Bajo riesgo","12.4","Bajo riesgo","6.5","Bajo riesgo"
"15","Boyacá","#TODOS","#TODOS","2,024","7.5","Bajo riesgo","4.8","Sin riesgo","22","Riesgo medio"
"17","Caldas","#TODOS","#TODOS","2,024","12.1","Bajo riesgo","0.8","Sin riesgo","49.8","Alto riesgo"
"18","Caquetá","#TODOS","#TODOS","2,024","6.6","Bajo riesgo","6.6","Bajo riesgo","ND","ND"
"19","Cauca","#TODOS","#TODOS","2,024","3.3","Sin riesgo","2.1","Sin riesgo","6.6","Bajo riesgo"
"20","Cesar","#TODOS","#TODOS","2,024","17.6","Riesgo medio","17.4","Riesgo medio","24.5","Riesgo medio"
"23","Córdoba","#TODOS","#TODOS","2,024","15.8","Riesgo medio","15.7","Riesgo medio","21.7","Riesgo medio"
"25","Cundinamarca","#TODOS","#TODOS","2,024","5","Sin riesgo","4.3","Sin riesgo","7","Bajo riesgo"
"27","Chocó","#TODOS","#TODOS","2,024","44.8","Alto riesgo","44.8","Alto riesgo","ND","ND"
"41","Huila","#TODOS","#TODOS","2,024","3.9","Sin riesgo","3.6","Sin riesgo","8.5","Bajo riesgo"
"44","La Guajira","#TODOS","#TODOS","2,024","10.9","Bajo riesgo","10","Bajo riesgo","31.9","Riesgo medio"
"47","Magdalena","#TODOS","#TODOS","2,024","10.2","Bajo riesgo","10.7","Bajo riesgo","3.8","Sin riesgo"
"50","Meta","#TODOS","#TODOS","2,024","11.3","Bajo riesgo","11.3","Bajo riesgo","10.5","Bajo riesgo"
"52","Nariño","#TODOS","#TODOS","2,024","19.5","Riesgo medio","8.7","Bajo riesgo","46.7","Alto riesgo"
"54","Norte de Santander","#TODOS","#TODOS","2,024","3.2","Sin riesgo","2.8","Sin riesgo","22.5","Riesgo medio"
"63","Quindío","#TODOS","#TODOS","2,024","0.3","Sin riesgo","0.2","Sin riesgo","1.1","Sin riesgo"
"66","Risaralda","#TODOS","#TODOS","2,024","5.9","Bajo riesgo","1.5","Sin riesgo","33","Riesgo medio"
"68","Santander","#TODOS","#TODOS","2,024","8.2","Bajo riesgo","6.8","Bajo riesgo","24.1","Riesgo medio"
"70","Sucre","#TODOS","#TODOS","2,024","15.8","Riesgo medio","15.9","Riesgo medio","5.4","Bajo riesgo"
"73","Tolima","#TODOS","#TODOS","2,024","15.8","Riesgo medio","15.4","Riesgo medio","41.2","Alto riesgo"
"76","Valle del Cauca","#TODOS","#TODOS","2,024","3.9","Sin riesgo","0.4","Sin riesgo","12.5","Bajo riesgo"
"81","Arauca","#TODOS","#TODOS","2,024","5.7","Bajo riesgo","0.8","Sin riesgo","34.2","Riesgo medio"
"85","Casanare","#TODOS","#TODOS","2,024","2.9","Sin riesgo","2.9","Sin riesgo","4","Sin riesgo"
"86","Putumayo","#TODOS","#TODOS","2,024","11.6","Bajo riesgo","11.5","Bajo riesgo","20.7","Riesgo medio"
"88","Archipiélago de San Andrés, Providencia Y Santa Catalina","#TODOS","#TODOS","2,024","3.6","Sin riesgo","0.5","Sin riesgo","8.5","Bajo riesgo"
"91","Amazonas","#TODOS","#TODOS","2,024","7.2","Bajo riesgo","7.6","Bajo riesgo","2.4","Sin riesgo"
"94","Guainía","#TODOS","#TODOS","2,024","32.8","Riesgo medio","32.8","Riesgo medio","ND","ND"
"95","Guaviare","#TODOS","#TODOS","2,024","8.2","Bajo riesgo","7.9","Bajo riesgo","12.9","Bajo riesgo"
"99","Vichada","#TODOS","#TODOS","2,024","14.6","Riesgo medio","14.6","Riesgo medio","ND","ND"
"05","Antioquia","#TODOS","#TODOS","2,024","5.2","Bajo riesgo","2.4","Sin riesgo","15.3","Riesgo medio"
"08","Atlántico","#TODOS","#TODOS","2,024","1.1","Sin riesgo","0.3","Sin riesgo","7.5","Bajo riesgo"
"11","Bogotá, D.C.","11001","Bogotá, D.C.","2,024","3.6","Sin riesgo","1.1","Sin riesgo","14.8","Riesgo medio"
"13","Bolívar","13001","Cartagena de Indias","2,024","2.8","Sin riesgo","2.9","Sin riesgo","2.4","Sin riesgo"
"13","Bolívar","13006","Achí","2,024","22.8","Riesgo medio","22.8","Riesgo medio","ND","ND"
"13","Bolívar","13030","Altos del Rosario","2,024","66.8","Alto riesgo","66.8","Alto riesgo","ND","ND"
"13","Bolívar","13042","Arenal","2,024","13.8","Bajo riesgo","13.8","Bajo riesgo","ND","ND"
"13","Bolívar","13052","Arjona","2,024","0","Sin riesgo","0","Sin riesgo","ND","ND"
"13","Bolívar","13062","Arroyohondo","2,024","11.3","Bajo riesgo","18.8","Riesgo medio","6.3","Bajo riesgo"
"13","Bolívar","13074","Barranco de Loba","2,024","36.8","Alto riesgo","41.3","Alto riesgo","32.3","Riesgo medio"
"13","Bolívar","13140","Calamar","2,024","12.1","Bajo riesgo","12.1","Bajo riesgo","ND","ND"
"13","Bolívar","13160","Cantagallo","2,024","0","Sin riesgo","0","Sin riesgo","ND","ND"
"13","Bolívar","13188","Cicuco","2,024","11.7","Bajo riesgo","11.7","Bajo riesgo","ND","ND"
"13","Bolívar","13212","Córdoba","2,024","15.3","Riesgo medio","15.3","Riesgo medio","ND","ND"
"13","Bolívar","13222","Clemencia","2,024","34.9","Riesgo medio","34.9","Riesgo medio","ND","ND"
